item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,apparel_l1_rn,gender_rn,fop_rn
academy_sports_men's_men's clothing_men's shirts + tops_under armour_under armour men's new tech polo shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,basketball,null,6.0082183E7,5,7,6,3
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's grotto falls long sleeve t-shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,hiking,null,3.9643513E7,6,14,11,1
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's laguna madre solid long sleeve fishing shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,hiking,null,3.9255672E7,7,15,12,2
academy_sports_men's_men's clothing_men's shirts + tops_bcg_bcg men's cotton t-shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,golf,null,3.4661967E7,8,18,15,1
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's aransas pass heather short sleeve fishing shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,hiking,null,3.3045065E7,9,20,17,3
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's casting crew core graphic long sleeve t-shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,hiking,null,3.1722377E7,10,22,19,4
academy_sports_mens_mens apparel_mens cold weather clothing_mens flannel shirts_magellan outdoors_magellan outdoors canyon creek long sleeve flannel shirt,academy_sports,mens > mens apparel > mens cold weather clothing > mens flannel shirts,Apparel,Tops,null,Men's,hiking,null,3.1265524E7,11,23,20,5
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_columbia_columbia sportswear men's tamiami ii shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,hiking,null,2.967668E7,12,25,21,6
academy_sports_men's_men's clothing_men's trending_top back to school brands_men's adidas clothing_adidas_adidas men's badge of sport basic t-shirt,academy_sports,men's > men's clothing > men's trending > top back to school brands > men's adidas clothing,Apparel,Tops,null,Men's,soccer,null,2.8679386E7,13,26,22,2
academy_sports_shops_graphic tees_animal_simply southern_simply southern women's friends graphic t-shirt,academy_sports,shops > graphic tees > animal,Apparel,Tops,null,Women's,training,null,2.7530385E7,14,28,4,5
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_columbia_columbia sportswear men's pfg triangle t-shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,tennis,null,2.4904337E7,15,32,26,4
academy_sports_men's_men's clothing_men's shirts + tops_carhartt_carhartt men's k87 short sleeve workwear pocket t-shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,training,null,2.4338735E7,16,35,28,6
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's casting crew long sleeve fishing shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,hiking,null,2.2959463E7,17,36,29,7
academy_sports_women's_women's clothing_women's shirts + tops_nike_nike women's dry legend short sleeve training t-shirt,academy_sports,women's > women's clothing > women's shirts + tops,Apparel,Tops,null,Women's,basketball,null,2.1842784E7,18,39,7,8
academy_sports_men's_men's big + tall shop_men's big + tall hoodies and sweatshirts_tall hoodies + sweatshirts_adidas_adidas men's feel cozy pullover hoodie,academy_sports,men's > men's big + tall shop > men's big + tall hoodies and sweatshirts > tall hoodies + sweatshirts,Apparel,Tops,null,Men's,sportswear,null,2.1053563E7,19,42,33,2
academy_sports_kids_kids graphic tees_kids logo graphic_boys logo graphic_under armour_under armour boys' tech logo t-shirt,academy_sports,kids > kids graphic tees > kids logo graphic > boys logo graphic,Apparel,Tops,null,Kids,training,null,1.8221359E7,20,51,3,11
academy_sports_men's_men's clothing_men's trending_top back to school brands_men's under armour clothing_under armour_under armour men's rival fleece hoodie,academy_sports,men's > men's clothing > men's trending > top back to school brands > men's under armour clothing,Apparel,Tops,null,Men's,basketball,null,1.7281354E7,21,54,42,10
academy_sports_men's_men's clothing_men's shirts + tops_magellan outdoors_magellan outdoors men's aransas pass mini check short sleeve shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,hiking,null,1.6933308E7,22,55,44,10
academy_sports_men's_men's clothing_men's trending_top back to school brands_men's nike clothing_nike_nike men's dri-fit football polo shirt,academy_sports,men's > men's clothing > men's trending > top back to school brands > men's nike clothing,Apparel,Tops,null,Men's,soccer,null,1.6494238E7,24,58,49,5
academy_sports_kids_kids graphic tees_kids logo graphic_boys logo graphic_adidas_adidas boys' climalite performance logo t-shirt,academy_sports,kids > kids graphic tees > kids logo graphic > boys logo graphic,Apparel,Tops,null,Kids,basketball,null,1.3935464E7,30,80,10,19
academy_sports_mens_mens big tall shop_mens big tall shirts_3x shirts_nike_nike men’s sportswear club graphic t-shirt,academy_sports,mens > mens big tall shop > mens big tall shirts > 3x shirts,Apparel,Tops,null,Men's,field_hockey,null,1.3881131E7,31,82,72,1
academy_sports_men's_men's clothing_men's workwear clothing_men's workwear hoodies + sweatshirts_carhartt_carhartt men's midweight signature sleeve logo hooded sweatshirt,academy_sports,men's > men's clothing > men's workwear clothing > men's workwear hoodies + sweatshirts,Apparel,Tops,null,Men's,sportswear,null,1.3374474E7,32,86,74,3
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_columbia_columbia sportswear men's slack tide camp button down shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,sportswear,null,1.1848912E7,37,102,84,4
academy_sports_kids_boys apparel_boys shirts + t shirts_boys long sleeve shirts_magellan outdoors_magellan outdoors boys' crewman logo t-shirt,academy_sports,kids > boys apparel > boys shirts + t shirts > boys long sleeve shirts,Apparel,Tops,null,Kids,field_hockey,null,1.1471448E7,41,112,18,2
academy_sports_men's_men's clothing_men's shirts + tops_bcg_bcg men's coaches polo shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,baseball,null,1.1218748E7,43,116,93,5
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_mag m top,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,sportswear,null,1.089788E7,46,122,98,5
academy_sports_men's_men's clothing_men's shirts + tops_bcg_bcg men's athletic cotton v-neck t-shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,sportswear,null,1.0262667E7,49,138,110,6
academy_sports_shops_hoodies_mens hoodies and sweatshirts_mens hoodies_nike m hoodie,academy_sports,shops > hoodies > mens hoodies and sweatshirts > mens hoodies,Apparel,Tops,null,Men's,sportswear,null,8916790.0,58,163,129,7
academy_sports_men's_men's clothing_men's hoodies + sweatshirts_bcg_bcg men’s lifestyle cotton fleece hoodie,academy_sports,men's > men's clothing > men's hoodies + sweatshirts,Apparel,Tops,null,Men's,sportswear,null,8823158.0,59,168,133,8
academy_sports_women's_women's clothing_women's trending_top back to school brands_women's nike clothing_nike_nike women's dri-fit legend t-shirt,academy_sports,women's > women's clothing > women's trending > top back to school brands > women's nike clothing,Apparel,Tops,null,Women's,golf,null,8592534.0,60,175,43,6
academy_sports_kids_kids sports_t ball_batting tees_rawlings_rawlings premier batting tee,academy_sports,kids > kids sports > t ball > batting tees,Apparel,Tops,null,Men's,baseball,null,7667833.0,67,210,161,10
academy_sports_men's_men's clothing_men's shirts + tops_champion_champion men's graphic jersey screen print script t-shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,cheer_dance,null,7653942.0,68,211,163,4
academy_sports_shops_trending prints_match game_magellan outdoors_magellan outdoors women's caddo lake logo crew long sleeve t-shirt,academy_sports,shops > trending prints > match game,Apparel,Tops,null,Women's,cheer_dance,null,7525883.0,70,219,63,6
academy_sports_men's_men's clothing_men's trending_top back to school brands_men's nike clothing_nike m short,academy_sports,men's > men's clothing > men's trending > top back to school brands > men's nike clothing,Apparel,Tops,null,Men's,gymnastics,null,7220873.0,73,228,177,2
academy_sports_women's_women's clothing_women's graphic tees_love & pineapples_love & pineapples women's us of yay short sleeve t-shirt,academy_sports,women's > women's clothing > women's graphic tees,Apparel,Tops,null,Women's,cheer_dance,null,6735136.0,78,242,74,7
academy_sports_men's_men's big + tall shop_men's big + tall shirts_3x shirts_adidas_adidas men’s badge of sport essentials t-shirt,academy_sports,men's > men's big + tall shop > men's big + tall shirts > 3x shirts,Apparel,Tops,null,Men's,cricket,null,6512468.0,84,265,199,1
academy_sports_kids_boys apparel_boys graphic tee shirts_nike_nike boys' legend swoosh t-shirt,academy_sports,kids > boys apparel > boys graphic tee shirts,Apparel,Tops,null,Kids,sportswear,null,6438340.0,85,268,48,10
academy_sports_men's_men's clothing_men's jackets + vests_columbia_columbia sportswear men's steens mountain 1/2 zip pullover,academy_sports,men's > men's clothing > men's jackets + vests,Apparel,Tops,null,Men's,golf,null,5507262.0,110,344,254,9
academy_sports_mens_mens apparel_mens shirts + t shirts_mens polos_nike_nike men's dri-fit core solid golf polo,academy_sports,mens > mens apparel > mens shirts + t shirts > mens polos,Apparel,Tops,null,Men's,golf,null,5394647.0,113,350,260,10
academy_sports_brands_brands m r_mizuno_womens shoes by mizuno_mizuno_mizuno women's cyclone speed 2 volleyball shoes,academy_sports,brands > brands m r > mizuno > womens shoes by mizuno,Apparel,Tops,null,Women's,volleyball,null,4747875.0,129,418,136,1
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_mag m casting l/s,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,softball,null,3990135.0,169,533,397,8
academy_sports_apparel_womens apparel_womens shirts + tops_rambler recon,academy_sports,apparel > womens apparel > womens shirts + tops,Apparel,Tops,null,Women's,gymnastics,null,3983645.0,170,534,176,4
academy_sports_apparel_mens apparel_mens graphic tee shirts_mag m ls,academy_sports,apparel > mens apparel > mens graphic tee shirts,Apparel,Tops,null,Men's,volleyball,null,3680558.0,188,591,438,3
academy_sports_kids_girls apparel_girls shirts + t shirts_l8 g top,academy_sports,kids > girls apparel > girls shirts + t shirts,Apparel,Tops,null,Kids,volleyball,null,3164571.0,223,708,140,5
academy_sports_men's_men's big + tall shop_men's big + tall pants and shorts_3x pants + shorts_browning_browning men’s porter ¼-zip pullover,academy_sports,men's > men's big + tall shop > men's big + tall pants and shorts > 3x pants + shorts,Apparel,Tops,null,Men's,rugby,null,2969290.0,238,757,558,2
academy_sports_mens_mens big tall shop_mens big tall pants shorts_3x pants shorts_bcg_bcg men's turbo textured short sleeve t-shirt,academy_sports,mens > mens big tall shop > mens big tall pants shorts > 3x pants shorts,Apparel,Tops,null,Men's,rugby,null,2775217.0,258,831,616,3
academy_sports_shops_online only sale_apparel markdowns_nike_nike men's sportswear club fleece crew pullover,academy_sports,shops > online only sale > apparel markdowns,Apparel,Tops,null,Men's,field_hockey,null,2719417.0,266,852,630,6
academy_sports_kids_boys apparel_boys graphic tee shirts_uao tee,academy_sports,kids > boys apparel > boys graphic tee shirts,Apparel,Tops,null,Kids,cricket,null,2703014.0,270,858,167,2
academy_sports_kids_boys apparel_boys swimsuits_boys rash guards swim shirts_o'rageous_o'rageous boys' solid long sleeve rash guard,academy_sports,kids > boys apparel > boys swimsuits > boys rash guards swim shirts,Apparel,Tops,null,Kids,swimming,null,2443421.0,307,967,194,9
academy_sports_fishing hoodies_____the north face_the north face women's shelbe raschel hoodie,academy_sports,fishing hoodies >  >  >  > ,Apparel,Tops,null,Men's,ski_snowboard,null,1990184.0,385,1228,889,1
academy_sports_men's_men's clothing_men's trending_top back to school brands_men's columbia clothing_columbia_columbia sportswear men's viewmont ii graphic hoodie,academy_sports,men's > men's clothing > men's trending > top back to school brands > men's columbia clothing,Apparel,Tops,null,Men's,ski_snowboard,null,1770413.0,423,1375,1011,3
academy_sports_mens_mens apparel_mens shirts + t shirts_mens pullovers_r.o.w._r.o.w. men's adam cozy pullover,academy_sports,mens > mens apparel > mens shirts + t shirts > mens pullovers,Apparel,Tops,null,Men's,rugby,null,1696808.0,441,1428,1039,4
academy_sports_men's_men's clothing_men's shirts + tops_bcg_bcg men's cold weather mock long sleeve top,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,ski_snowboard,null,1648900.0,453,1465,1066,4
academy_sports_apparel_mens apparel_mens graphic tee shirts_magellan outdoors_magellan outdoors men's local state graphic texas long sleeve t-shirt,academy_sports,apparel > mens apparel > mens graphic tee shirts,Apparel,Tops,null,Men's,field_hockey,null,1605633.0,464,1507,1090,9
academy_sports_brands_bcg_bcg mens_mens bcg clothing_bcg_bcg men’s turbo melange half zipper sweatshirt,academy_sports,brands > bcg > bcg mens > mens bcg clothing,Apparel,Tops,null,Men's,rugby,null,1590346.0,467,1517,1102,5
academy_sports_kids_boys apparel_boys shirts + t shirts_boys t shirts tank tops_magellan outdoors_magellan outdoors boys' realtree aspect tri ombre long sleeve t-shirt,academy_sports,kids > boys apparel > boys shirts + t shirts > boys t shirts tank tops,Apparel,Tops,null,Men's,lacrosse,null,1544081.0,481,1557,1132,5
academy_sports_men's_men's clothing_men's hoodies + sweatshirts_r.o.w._r.o.w. men's dylan hoodie,academy_sports,men's > men's clothing > men's hoodies + sweatshirts,Apparel,Tops,null,Men's,rugby,null,1386800.0,522,1698,1235,7
academy_sports_womens_womens apparel_womens graphic tee shirts_w ai i tee,academy_sports,womens > womens apparel > womens graphic tee shirts,Apparel,Tops,null,Women's,gymnastics,null,1270718.0,570,1865,673,8
academy_sports_womens_womens apparel_womens hoodies and sweatshirts_womens quarter zip 1_bcg_bcg women's quilted 1/4 zip pullover top,academy_sports,womens > womens apparel > womens hoodies and sweatshirts > womens quarter zip 1,Apparel,Tops,null,Women's,ski_snowboard,null,1121581.0,680,2141,778,7
academy_sports_apparel_womens apparel_womens hoodies and sweatshirts_womens hoodies 1_magellan outdoors_magellan outdoors women's pro angler gaiter hoodie,academy_sports,apparel > womens apparel > womens hoodies and sweatshirts > womens hoodies 1,Apparel,Tops,null,Women's,cricket,null,1119738.0,681,2145,781,3
academy_sports_mens_mens big tall shop_mens big tall hoodies sweatshirts_3x hoodies sweatshirts_l.l.bean_l.l. bean men's lakewashed 1/4 zip pullover,academy_sports,mens > mens big tall shop > mens big tall hoodies sweatshirts > 3x hoodies sweatshirts,Apparel,Tops,null,Men's,lacrosse,null,1080868.0,699,2219,1573,6
academy_sports_women's_women's clothing_women's hoodies + sweatshirts_women's hoodies_the north face_the north face women's shelbe raschel hoodie,academy_sports,women's > women's clothing > women's hoodies + sweatshirts > women's hoodies,Apparel,Tops,null,Women's,ski_snowboard,null,841464.0,873,2781,1036,9
academy_sports_boys apparel_____new world graphics_new world graphics men's university of georgia cloud t-shirt,academy_sports,boys apparel >  >  >  > ,Apparel,Tops,null,Men's,lacrosse,null,748150.0,990,3072,2130,9
academy_sports_men's_men's clothing_men's hoodies + sweatshirts_under armour_under armour men's freedom flag fleece hoodie,academy_sports,men's > men's clothing > men's hoodies + sweatshirts,Apparel,Tops,null,Men's,wrestling,null,730556.0,1009,3129,2161,6
academy_sports_brands_magellan_magellan apparel_mens clothing magellan_mens shirts by magellan + 1_magellan outdoors_magellan men's proexplore long sleeve hoodie,academy_sports,brands > magellan > magellan apparel > mens clothing magellan > mens shirts by magellan + 1,Apparel,Tops,null,Men's,lacrosse,null,712057.0,1034,3193,2202,10
academy_sports_men's_men's swim_men's rash guards + swim shirts_o'rageous_o'rageous men's long sleeve rash guard,academy_sports,men's > men's swim > men's rash guards + swim shirts,Apparel,Tops,null,Men's,wrestling,null,512688.0,1358,4108,2751,8
academy_sports_men's_men's clothing_men's hoodies + sweatshirts_buck wear_buck wear men's fight camo flag hoodie,academy_sports,men's > men's clothing > men's hoodies + sweatshirts,Apparel,Tops,null,Men's,wrestling,null,470865.0,1469,4382,2928,9
academy_sports_footwear_athletic shoes sneakers_running shoes_mens running shoes_ua m charged impul,academy_sports,footwear > athletic shoes sneakers > running shoes > mens running shoes,Apparel,Tops,null,Men's,cricket,null,438149.0,1558,4630,3073,7
champs_sports_accessories_socks_socks_nike_nike 6 pack everyday plus cushioned socks - men's,champs_sports,accessories > socks > socks,Apparel,Underwear,null,Men's,running,null,3.6435527E7,1,11,12,1
champs_sports_accessories_socks_socks_nike_nike 6 pack dri-fit plus quarter socks - men's,champs_sports,accessories > socks > socks,Apparel,Underwear,null,Men's,basketball,null,1.2776517E7,2,41,42,4
champs_sports_accessories_socks_socks_nike_nike 3 pack dri-fit plus crew socks - men's,champs_sports,accessories > socks > socks,Apparel,Underwear,null,Men's,training,null,7353079.0,3,75,74,19
champs_sports_accessories_socks_socks_adidas_adidas originals trefoil cushioned quarter socks 6-pack - men's,champs_sports,accessories > socks > socks,Apparel,Underwear,null,Men's,basketball,null,1524240.0,4,325,307,47
champs_sports_shoes_casual sneakers_casual sneakers_adidas_adidas originals zx 2k boost - men's,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Underwear,null,Men's,sportswear,null,1474204.0,5,341,319,20
champs_sports_shoes_performance basketball shoes_jordan_jordan retro 5 se - men's,champs_sports,shoes > performance basketball shoes,Apparel,Underwear,null,Men's,sportswear,null,991116.0,6,491,453,33
champs_sports_accessories_socks_socks_jordan_jordan every day cushioned crew 3 pack socks - men's,champs_sports,accessories > socks > socks,Apparel,Underwear,null,Men's,training,null,939275.0,7,519,473,122
champs_sports_accessories_socks_crew socks_nike_nike elite crew socks,champs_sports,accessories > socks > crew socks,Apparel,Underwear,null,Men's,soccer,null,800685.0,8,626,567,16
champs_sports_accessories_socks_no show socks_nike_nike 6 pack dri-fit plus no show socks - men's,champs_sports,accessories > socks > no show socks,Apparel,Underwear,null,Men's,training,null,498164.0,9,968,867,206
champs_sports_shoes_performance basketball shoes_performance basketball shoes_under armour_under armour curry 2 - boys' grade school,champs_sports,shoes > performance basketball shoes > performance basketball shoes,Apparel,Underwear,null,Men's,basketball,null,464817.0,10,1024,921,226
"costco_clothing, luggage & handbags_clothing for women_activewear for women_skechers_unknown skechers product",costco,"clothing, luggage & handbags > clothing for women > activewear for women",Apparel,Dresses,null,Women's,tennis,null,1.724161E7,1,159,27,16
"costco_clothing, luggage & handbags_swim dress",costco,"clothing, luggage & handbags",Apparel,Dresses,null,Unisex/Undefined,null,null,5764906.0,2,432,317,101
"costco_clothing, luggage & handbags_32 degrees_unknown 32 degrees product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Men's,volleyball,null,3.133035519E9,1,1,1,1
"costco_clothing, luggage & handbags_mondetta_unknown mondetta product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,volleyball,null,5.18770397E8,2,4,2,3
"costco_clothing, luggage & handbags_danskin_unknown danskin product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Women's,volleyball,null,4.08530256E8,3,5,1,4
"costco_clothing, luggage & handbags_hurley_unknown hurley product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,volleyball,null,3.80723677E8,4,7,4,5
"costco_clothing, luggage & handbags_head_unknown head product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,volleyball,null,3.20498495E8,5,9,6,6
"costco_clothing, luggage & handbags_hilarey radley_unknown hilarey radley product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,volleyball,null,2.93690277E8,6,10,7,7
"costco_clothing, luggage & handbags_adidas_adidas men's low cut sock, 6-pair, assorted colors",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Men's,null,null,2.68793124E8,7,13,3,1
"costco_clothing, luggage & handbags_carole hochman_unknown carole hochman product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,tennis,null,2.49093669E8,8,14,10,1
"costco_clothing, luggage & handbags_nautica_nautica pajamas",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,null,null,1.38745748E8,9,20,14,2
"costco_clothing, luggage & handbags_max & mia_unknown max & mia product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,volleyball,null,1.22305245E8,10,23,16,9
"costco_clothing, luggage & handbags_jane & bleeker_unknown jane & bleeker product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,volleyball,null,1.02423249E8,11,25,18,10
"costco_clothing, luggage & handbags_buffalo david bitton_buffalo top",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,baseball,null,7.7008848E7,12,30,22,1
"costco_clothing, luggage & handbags_buffalo david bitton_unknown buffalo product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,cheer_dance,null,6.6549868E7,13,37,27,4
"costco_clothing, luggage & handbags_lee_unknown lee product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,gymnastics,null,6.6296382E7,14,38,28,1
"costco_clothing, luggage & handbags_puma_puma ladies' sneaker liner sock, 8-pair, assorted colors",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Women's,tennis,null,5.925477E7,15,41,6,3
"costco_clothing, luggage & handbags_weatherproof_weatherproof vintage 4pk mens socks",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Men's,hiking,null,5.5751329E7,16,45,10,2
"costco_clothing, luggage & handbags_adidas_adidas ladies' xplr path sneaker(*******)",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Women's,training,null,4.6295366E7,17,52,8,7
"costco_clothing, luggage & handbags_adidas_adidas men's xplr path sneaker",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Men's,null,null,4.4872597E7,18,55,14,3
"costco_clothing, luggage & handbags_clothing for women_pajamas & loungewear for women_flora nikrooz_unknown flora nikrooz product",costco,"clothing, luggage & handbags > clothing for women > pajamas & loungewear for women",Apparel,Other Apparel,null,Women's,lacrosse,null,4.3990183E7,19,56,9,2
"costco_clothing, luggage & handbags_english laundry_unknown english laundry product",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,tennis,null,3.1311658E7,22,80,52,7
"costco_view more categories_new items_copper fit_copper fit elite air knee sleeve, 2-count",costco,view more categories > new items,Apparel,Other Apparel,null,Unisex/Undefined,tennis,null,2.341601E7,25,115,78,9
"costco_clothing, luggage & handbags_calvin klein_calvin klein t-shirt",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,null,null,1.6096343E7,28,176,129,4
"costco_clothing, luggage & handbags_weatherproof_weatherproof vintage flannel",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,golf,null,1.5940775E7,29,179,131,5
"costco_clothing, luggage & handbags_lucky tee",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,softball,null,1.4994137E7,32,190,140,2
"costco_clothing, luggage & handbags_calvin klein_calvin klein motive bra",costco,"clothing, luggage & handbags",Apparel,Other Apparel,null,Unisex/Undefined,swimming,null,1.3169002E7,35,216,161,1
