item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,l1_validated,l2_validated,l3_validated,gender_validated,primary_fop_validated,sub_sport_validated,corrected_columns,reasoning
abercrombie_and_fitch_women's_clearance_shoes_vivianne_leather_ankle_boots_abercrombie & fitch_vivianne leather ankle boots,abercrombie_and_fitch,women's > clearance > shoes > vivianne_leather_ankle_boots,Footwear,,,Women's,walking,,Footwear,,,Women's,sportswear,,"[""primary_fop""]","The product is a pair of leather ankle boots, which are more aligned with lifestyle/casual wear rather than walking-specific footwear. Therefore, the primary FoP should be 'sportswear' instead of 'walking'."
abercrombie_and_fitch_women's_clearance_intimates_&_sleepwear_next_to_naked_triangle_bralette_abercrombie & fitch_next to naked triangle bralette,abercrombie_and_fitch,women's > clearance > intimates_&_sleepwear > next_to_naked_triangle_bralette,Apparel,Bras,,Women's,rugby,,Apparel,Bras,,Women's,,,"[""primary_fop""]","The product is a bralette, which falls under the L1 category 'Apparel' and L2 category 'Bras'. There is no applicable L3 category for Bras. The gender is correctly identified as 'Women's'. The primary FoP was incorrectly classified as 'rugby', but a bralette does not fit any specific Field of Play, so it should be 'null'."
academy_sports_men's_men's clothing_men's pants + jeans_nike_nike men's sportswear club fleece sweatpants,academy_sports,men's > men's clothing > men's pants + jeans,Apparel,Bottoms,Fleece Bottoms,Men's,tennis,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""primary_fop""]","The product is a pair of fleece sweatpants, which fits the 'sportswear' FoP due to its casual, lifestyle nature. The current classification of 'tennis' is incorrect as there are no signals indicating a tennis-specific context."
academy_sports_men's_men's clothing_men's trending_top back to school brands_men's adidas clothing_adidas_adidas men's tiro 21 track pants,academy_sports,men's > men's clothing > men's trending > top back to school brands > men's adidas clothing,Apparel,Bottoms,Pants,Men's,tennis,,Apparel,Bottoms,Pants,Men's,soccer,,"[""primary_fop""]","The product is 'adidas men's tiro 21 track pants', which are typically associated with soccer training and warm-up apparel. The current classification of 'tennis' for the primary FoP is incorrect. The correct primary FoP should be 'soccer' based on the product's typical use and branding."
academy_sports_men's_men's clothing_men's pants + jeans_bcg_bcg men's performance full length compression tights,academy_sports,men's > men's clothing > men's pants + jeans,Apparel,Bottoms,Tights,Men's,basketball,,Apparel,Bottoms,Baselayer Bottoms,Men's,training,cross_training,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is described as 'performance full length compression tights', which fits the L3 category 'Baselayer Bottoms' due to the compression aspect. The primary FoP should be 'training' with a sub-sport of 'cross_training' as the product is likely intended for gym or workout use, not basketball."
academy_sports_women's_women's clothing_women's jackets + vests_columbia_columbia sportswear women's benton springs full zip fleece jacket,academy_sports,women's > women's clothing > women's jackets + vests,Apparel,Jackets & Outerwear,,Women's,running,,Apparel,Jackets & Outerwear,Fleece Tops,Women's,sportswear,,"[""l3"", ""primary_fop""]","The product is a fleece jacket, which should be classified under 'Fleece Tops' for L3. The primary FoP should be 'sportswear' as it is a casual fleece jacket, not performance running apparel."
academy_sports_women's_women's shoes + boots_women's shoes by sport_women's running shoes_nike_nike women's downshifter 11 running shoes,academy_sports,women's > women's shoes + boots > women's shoes by sport > women's running shoes,Apparel,Bottoms,Skirts,Women's,running,,Footwear,,,Women's,running,road_running,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a pair of running shoes, not apparel. Therefore, L1 should be 'Footwear', and L2 and L3 should be 'null' as they are not applicable for footwear. The primary FoP 'running' is correct, and the sub-sport should be 'road_running' based on the context of running shoes."
academy_sports_shops_workwear clothing boots_work boots_construction boots_brazos_brazos men’s waltham wellington steel-toe work boots,academy_sports,shops > workwear clothing boots > work boots > construction boots,Apparel,Dresses,,Men's,,,Footwear,,,Men's,,,"[""l1"", ""l2""]","The product is a pair of work boots, which falls under the Footwear category, not Apparel. Therefore, L1 should be Footwear, and L2 should be null as L2 is not applicable for Footwear. The gender classification of Men's is correct based on the item description."
academy_sports_shops_fun in the sun_womens fun in the sun_fun in the sun womens clothing_womens fun in the sun sports bras_nike_nike™ women's indy v-neck low support sports bra,academy_sports,shops > fun in the sun > womens fun in the sun > fun in the sun womens clothing > womens fun in the sun sports bras,Apparel,Bras,,Women's,swimming,,Apparel,Bras,,Women's,training,training_other,"[""primary_fop"", ""sub_sport""]","The product is a sports bra, which falls under the 'Bras' category in L2. The current classification of 'swimming' for the primary FoP is incorrect as the product is a sports bra, typically used for training or general athletic activities, not specifically for swimming. Therefore, the primary FoP should be 'training' with a sub-sport of 'training_other' as it does not fit into a more specific training sub-sport category."
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's laguna madre solid short sleeve fishing shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,,Men's,sportswear,,Apparel,Tops,Athletic Shirts & Tees,Men's,,,"[""l3"", ""primary_fop""]","The product is a men's fishing shirt, which fits under L2: Tops and L3: Athletic Shirts & Tees due to its functional nature. The primary FoP should be null as fishing is not a defined FoP category in the documentation."
academy_sports_men's_men's clothing_men's pants + jeans_adidas_adidas men's tiro24 tracksuit soccer training pants,academy_sports,men's > men's clothing > men's pants + jeans,Apparel,Track Suits,,Men's,soccer,,Apparel,Bottoms,Pants,Men's,soccer,,"[""l2"", ""l3""]",The product is described as 'training pants' which fits under L2: Bottoms and L3: Pants. The current L2 classification as 'Track Suits' is incorrect because it is not a jacket and pants set. L3 was null but should be 'Pants' as it is a specific type of bottoms.
academy_sports_shops_all accessories_hats accessories_socks_athletic socks + 1_nike_nike men's everyday plus cushion training crew socks 6 pack,academy_sports,shops > all accessories > hats accessories > socks > athletic socks + 1,Apparel,Underwear,,Men's,training,,None,,,Men's,,,"[""l1"", ""l2"", ""primary_fop""]","The product is a pack of socks, which are classified under 'None' according to the L1 category definitions, as socks are excluded from 'Apparel'. Therefore, L2 and primary FoP should be null as they are not applicable for 'None' L1 category."
academy_sports_men's_men's shoes + boots_men's casual + outdoor boots_men's cowboy + western boots_durango_durango men's rebel american flag western boots,academy_sports,men's > men's shoes + boots > men's casual + outdoor boots > men's cowboy + western boots,Footwear,,,Men's,walking,,Footwear,,,Men's,,,"[""primary_fop""]","The product is a men's cowboy boot, which does not fit the 'walking' FoP. Cowboy boots are typically not classified under any specific FoP in the provided documentation, so the primary FoP should be 'null'."
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's clothing_men's activewear_men's athletic pants_screenshot_screenshotbrand mens hip hop premium slim fit track pants - athletic jogger bottom with side taping",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's clothing > men's activewear > men's athletic pants",Apparel,Bottoms,,Men's,,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a pair of athletic jogger bottoms with side taping, which fits the 'Fleece Bottoms' category due to the 'jogger' and 'athletic' signals. The primary FoP is 'sportswear' as the item is described as 'hip hop premium slim fit track pants,' indicating a lifestyle/casual athletic-inspired apparel."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's jeans_democracywomenscollection_democracy women's ab solution jegging",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's jeans",Apparel,Bottoms,Baselayer Bottoms,Women's,running,,Apparel,Bottoms,Other Bottoms,Women's,sportswear,,"[""l3"", ""primary_fop""]","The product is a jegging, which does not fit the definition of 'Baselayer Bottoms' as it is not a compression or thermal item. It fits better under 'Other Bottoms'. The primary FoP should be 'sportswear' as jeggings are typically lifestyle/casual wear, not performance running apparel."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's activewear_women's athletic pants_thegympeople_the gym people thick high waist yoga pants with pockets, tummy control workout running yoga leggings for women",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's activewear > women's athletic pants",Apparel,Bottoms,Pants,Women's,cheer_dance,,Apparel,Bottoms,Tights,Women's,training,yoga,"[""l3"", ""primary_fop"", ""sub_sport""]",The product is described as 'yoga pants' which aligns with 'Tights' in L3 for Bottoms. The primary FoP should be 'training' with a sub-sport of 'yoga' due to the yoga context in the product description.
"amazon_clothing, shoes & jewelry_women_women's clothing_women's activewear_women's athletic shorts_baleaf_baleaf women's 8""/ 5""/ 3"" biker shorts high waist yoga workout gym running volleyball spandex shorts with pockets",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's activewear > women's athletic shorts",Apparel,Bottoms,Shorts,Women's,volleyball,,Apparel,Bottoms,Shorts,Women's,training,cross_training,"[""primary_fop"", ""sub_sport""]","The product is described as 'biker shorts high waist yoga workout gym running volleyball spandex shorts with pockets'. While it is currently classified under 'volleyball', the description suggests a broader use case suitable for general training activities, including yoga and gym workouts. Therefore, the primary FoP should be 'training' with a sub-sport of 'cross_training' to reflect its versatility in various training contexts."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's skirts_women's weekend skirts_urbancoco_urban coco women's basic versatile stretchy flared casual mini skater skirt",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's skirts > women's weekend skirts",Apparel,Bottoms,Skirts,Women's,training,,Apparel,Bottoms,Skirts,Women's,sportswear,,"[""primary_fop""]","The product is a casual mini skater skirt, which fits the sportswear category as it is lifestyle/casual apparel. The current classification of 'training' is incorrect as the skirt is not designed for performance training activities."
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's clothing_men's activewear_men's athletic pants_fruit of the loom_fruit of the loom eversoft fleece elastic bottom sweatpants with pockets, relaxed fit, moisture wicking, breathable",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's clothing > men's activewear > men's athletic pants",Apparel,Bottoms,Fleece Bottoms,Men's,training,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""primary_fop""]","The product is a pair of fleece sweatpants, which aligns with the 'sportswear' FoP due to its casual, lifestyle nature. The original classification of 'training' is incorrect as the product does not have performance features typical of training apparel."
"amazon_clothing, shoes & jewelry_women_women's shoes_women's athletic shoes_women's running shoes_brooks_brooks women's ghost 14 neutral running shoe",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's athletic shoes > women's running shoes",Apparel,Bottoms,Other Bottoms,Women's,running,,Footwear,,,Women's,running,road_running,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a running shoe, which falls under the L1 category 'Footwear', not 'Apparel'. L2 and L3 are not applicable for Footwear. The primary FoP is correctly identified as 'running', and the sub-sport should be 'road_running' based on the product description as a neutral running shoe."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's coats, jackets & vests_women's down jackets & parkas_olay_orolay women's thickened down jacket",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's coats, jackets & vests > women's down jackets & parkas",Apparel,Jackets & Outerwear,,Women's,sportswear,,Apparel,Jackets & Outerwear,Outerwear,Women's,sportswear,,"[""l3""]","The product is a women's down jacket, which fits the L3 category 'Outerwear' under 'Jackets & Outerwear' as it is insulated/weather-protective. The current L3 classification was null, so it was corrected to 'Outerwear'."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's dresses_women's casual dresses_belongsci_belongsci women's dress sweet & cute v-neck bell sleeve shift dress mini dress",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's dresses > women's casual dresses",Apparel,Dresses,,Women's,sportswear,,Apparel,Dresses,,Women's,sportswear,,[],"The current classifications are correct. The product is a casual dress, which fits under L1: Apparel and L2: Dresses. There is no L3 category for Dresses. The gender is correctly identified as Women's based on the product description. The primary FoP is sportswear, as the dress is casual and not performance-oriented."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's lingerie, sleep & lounge_women's lingerie_warner's_warner's women's easy does it® underarm-smoothing with seamless stretch wireless lightly lined comfort bra rm3911a",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's lingerie, sleep & lounge > women's lingerie",Apparel,Bras,,Women's,sportswear,,Apparel,Bras,,Women's,,,"[""primary_fop""]","The product is a bra, which falls under the L1 category 'Apparel' and L2 category 'Bras'. There is no applicable L3 category for Bras. The gender is correctly identified as 'Women's'. The primary FoP 'sportswear' is incorrect because bras do not have a specific Field of Play classification, so it should be 'null'. Sub-sport is not applicable."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's lingerie, sleep & lounge_women's thermal underwear_baleaf_baleaf women's fleece lined leggings thermal warm winter tights high waisted yoga pants cold weather with pockets",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's lingerie, sleep & lounge > women's thermal underwear",Apparel,Bottoms,Tights,Women's,running,,Apparel,Bottoms,Baselayer Bottoms,Women's,training,cross_training,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is fleece-lined leggings, which are thermal and fit the definition of 'Baselayer Bottoms' as they are first-layer thermal bottoms. The primary FoP should be 'training' with a sub-sport of 'cross_training' due to the thermal and warm nature of the leggings, suitable for cold weather training activities."
"amazon_clothing, shoes & jewelry_sport specific clothing_ski clothing_women's skiing clothing_women's skiing bibs & pants_camel_camel women hiking fleece pants waterproof- winter pants insulated softshell pants golf snow skiing outerwear",amazon_leia,"clothing, shoes & jewelry > sport specific clothing > ski clothing > women's skiing clothing > women's skiing bibs & pants",Apparel,Jackets & Outerwear,Pants,Women's,,,Apparel,Bottoms,Fleece Bottoms,Women's,ski_snowboard,,"[""l2"", ""l3"", ""primary_fop""]","The product is described as 'hiking fleece pants' and 'skiing outerwear', indicating it is a type of bottoms rather than jackets & outerwear. The fleece material suggests 'Fleece Bottoms' at L3. The context of skiing and winter activities aligns with the 'ski_snowboard' FoP."
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's clothing_men's shirts_men's t-shirts_gildan_gildan men's crew t-shirts, multipack, style g1100",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's clothing > men's shirts > men's t-shirts",Apparel,Tops,,Men's,training,,Apparel,Tops,Athletic Shirts & Tees,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a men's crew t-shirt, which fits the L3 category 'Athletic Shirts & Tees' under L2 'Tops'. The primary FoP should be 'sportswear' as the item is a casual t-shirt, not specifically designed for training."
"amazon_clothing, shoes & jewelry_women_women's shoes_women's mules & clogs_crocs_crocs unisex-adult classic lined clog",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's mules & clogs",Footwear,,,Men's,walking,,Footwear,,,Unisex/Undefined,slides,,"[""gender"", ""primary_fop""]","The product is a 'Crocs Unisex-Adult Classic Lined Clog', which fits the definition of 'slides' as it is a slide-on sandal without a back strap. The gender should be 'Unisex/Undefined' as the product is labeled as unisex."
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's clothing_men's underwear_men's boxer briefs_fruit of the loom_fruit of the loom men's coolzone boxer briefs, moisture wicking & breathable, assorted color multipacks",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's clothing > men's underwear > men's boxer briefs",Apparel,Underwear,,Men's,training,,Apparel,Underwear,,Men's,,,"[""primary_fop""]","The product is men's boxer briefs, which fall under L1: Apparel and L2: Underwear. There is no applicable L3 category for Underwear. The gender is correctly identified as Men's. The primary FoP should be null as the product is not specifically designed for training or any other sport-specific activity."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's activewear_women's athletic clothing sets_anrabess_anrabess women 2 piece outfits sweatsuit oversized sweatshirt sweatpants tracksuit sweat lounge matching set 2024 fall trendy",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's activewear > women's athletic clothing sets",Apparel,Track Suits,,Women's,cheer_dance,,Apparel,Track Suits,,Women's,sportswear,,"[""primary_fop""]","The product is a women's 2-piece sweatsuit, which fits the L2 category 'Track Suits' under L1 'Apparel'. The primary FoP should be 'sportswear' as it is a casual, lifestyle-oriented tracksuit, not specific to 'cheer_dance'. The gender classification 'Women's' is correct based on the web categories and item description."
champs_sports_clothing_shorts_csg_csg precision knit sht-bk,champs_sports,clothing > shorts,Apparel,Bottoms,Baselayer Bottoms,Unisex/Undefined,volleyball,,Apparel,Bottoms,Shorts,Unisex/Undefined,training,training_other,"[""l3"", ""primary_fop"", ""sub_sport""]","The item is a pair of shorts, which should be classified as 'Shorts' under L3, not 'Baselayer Bottoms'. The primary FoP 'volleyball' is incorrect as there are no signals indicating volleyball-specific use. 'Training' is more appropriate given the general athletic context, with 'training_other' as the sub-sport since no specific training type is indicated."
champs_sports_shoes_casual sneakers_casual sneakers_nike_nike air force 1 low '24 - boys' grade school,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Other Bottoms,Kids,sportswear,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a Nike Air Force 1 Low, which is a type of casual sneaker, thus it should be classified under Footwear, not Apparel. The L2 and L3 categories are not applicable for Footwear. The primary FoP is sportswear, and the sub-sport should be sportswear_basketball as the Air Force 1 is a basketball-inspired lifestyle sneaker. The gender classification as Kids is correct."
champs_sports_clothing_hoodies & sweatshirts_hoodies & sweatshirts_nike_nike club pullover hoodie - men's,champs_sports,clothing > hoodies & sweatshirts > hoodies & sweatshirts,Apparel,Bottoms,Fleece Bottoms,Men's,golf,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l2"", ""l3"", ""primary_fop""]","The product is a 'Nike Club Pullover Hoodie', which falls under 'Tops' and 'Fleece Tops' as it is a cozy/warmth-focused top. The primary FoP should be 'sportswear' as hoodies are typically lifestyle/casual athletic-inspired apparel. The current classifications incorrectly categorize it as 'Bottoms' and 'Fleece Bottoms', and the FoP as 'golf', which is not applicable."
champs_sports_clothing_shorts_shorts_nike_nike gx club shorts - men's,champs_sports,clothing > shorts > shorts,Apparel,Bottoms,Shorts,Men's,basketball,,Apparel,Bottoms,Shorts,Men's,sportswear,,"[""primary_fop""]","The product is a pair of shorts, which fits the L1, L2, and L3 classifications as Apparel, Bottoms, and Shorts respectively. The gender classification as Men's is correct based on the item key. However, the primary FoP should be 'sportswear' instead of 'basketball' because there are no specific signals or context indicating that these shorts are designed for basketball performance. The item key suggests a casual/lifestyle context ('club shorts'), aligning with sportswear."
champs_sports_shoes_casual sneakers_casual sneakers_nike_nike air max 90 - men's,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Pants,Men's,sportswear,,Footwear,,,Men's,sportswear,sportswear_running,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a Nike Air Max 90, which is a type of footwear, not apparel. Therefore, L1 should be 'Footwear', and L2 and L3 should be 'null' as they are not applicable for footwear. The primary FoP is correctly identified as 'sportswear', but the sub-sport should be 'sportswear_running' as the Air Max 90 is a running-inspired lifestyle shoe."
champs_sports_shoes_boots_outdoor boots_timberland_timberland 6 inch premium boots - men's,champs_sports,shoes > boots > outdoor boots,Apparel,Bras,,Men's,,,Footwear,,,Men's,hiking,,"[""l1"", ""l2"", ""primary_fop""]","The product is a men's outdoor boot, which falls under the 'Footwear' category, not 'Apparel'. The L2 category should be 'null' as it is not applicable for Footwear. The primary FoP should be 'hiking' as the product is an outdoor boot suitable for hiking activities."
champs_sports_clothing_tights_performance tights_nike_nike pro dri-fit tights - men's,champs_sports,clothing > tights > performance tights,Apparel,Bottoms,Tights,Men's,basketball,,Apparel,Bottoms,Baselayer Bottoms,Men's,training,cross_training,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is 'Nike Pro Dri-FIT Tights', which indicates a baselayer function, aligning with 'Baselayer Bottoms' for L3. The Dri-FIT technology and 'performance tights' suggest a training context, not basketball, so the primary FoP should be 'training' with a sub-sport of 'cross_training' due to the general training signals."
champs_sports_shoes_casual sneakers_casual sneakers_nike_nike air force one lv8 ftl - boys' grade school,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Skirts,Kids,sportswear,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a 'Nike Air Force One LV8 FTL - Boys' Grade School' which is a type of shoe, not apparel. Therefore, L1 should be 'Footwear'. L2 and L3 are not applicable for footwear, so they should be 'null'. The primary FoP is correctly identified as 'sportswear', but the sub-sport should be 'sportswear_basketball' as the Air Force 1 is a basketball-inspired lifestyle sneaker."
champs_sports_shoes_clogs_clogs_crocs_crocs team spider-man echo clogs - men's,champs_sports,shoes > clogs > clogs,Apparel,Dresses,,Men's,,,Footwear,,,Men's,sportswear,,"[""l1"", ""l2"", ""primary_fop""]","The product is a pair of clogs, which falls under Footwear, not Apparel. L2 is not applicable for Footwear. The product is casual and not performance-oriented, fitting the sportswear FoP. Gender remains Men's as indicated."
